Row Labels,Count of Residence
Albania,6
Algeria,2
Argentina,104
Australia,245
Austria,149
Bahrain,2
Bangladesh,3
Belarus,3
Belgium,189
Belize,2
Bolivia,1
Bosnia and Herzegovina,17
Brazil,253
Brunei,1
Bulgaria,56
Canada,994
Chile,67
China,8
Colombia,22
Costa Rica,8
Croatia,70
Cyprus,1
Czech Republic,67
Denmark,254
Dominican Republic,7
Ecuador,4
Egypt,5
El Salvador,1
Estonia,38
Faroe Islands,5
Fiji,1
Finland,183
France,391
Georgia,3
Germany,1413
Gibraltar ,1
Greece,103
Grenada,1
Guadeloupe,1
Guatemala,3
Honduras,3
Hong Kong,12
Hungary,61
Iceland,16
India,16
Indonesia,1
Ireland,72
Israel,30
Italy,126
Jamaica,1
Japan,9
Jordan,5
Kazakhstan,1
Kuwait,3
Latvia,30
Lebanon,5
Liechtenstein,1
Lithuania,44
Luxembourg,9
Macedonia,7
Malaysia,28
Malta,5
Mexico,76
Moldova,1
Mongolia,2
Montenegro,2
Morocco,13
Namibia,1
Netherlands,506
New Zealand ,65
Nicaragua,2
Norway,193
Pakistan,5
Palestine,1
Panama,4
Peru,18
Philippines,21
Poland,243
Portugal,229
Puerto Rico,12
Qatar,3
Republic of Kosovo,1
Romania,91
Russia,40
Saudi Arabia,8
Serbia,60
Singapore,37
Slovakia,26
Slovenia,65
South Africa,24
South Korea,16
Spain,203
St Vincent,1
Sweden,379
Switzerland,96
Syria,2
Taiwan,2
Thailand,5
Trinidad & Tobago,8
Tunisia,4
Turkey,45
UAE,12
UK,1032
Ukraine,9
Unknown,106
Uruguay,14
USA,4568
Venezuela,29
Vietnam,11
Grand Total,13460
